instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Vatterott College-Joplin,Joplin,MO,Certificate Degree,Plains,City: Small,NA,NA,140,24427,NA,11736,11736,15168,22900,0.402218115
Vatterott College-Kansas City,Kansas City,MO,Associate Degree,Plains,City: Large,NA,NA,259,24838,NA,11826,11826,15168,22900,0.402218115
Omaha School of Massage and Healthcare of Herzing University,Omaha,NE,Certificate Degree,Plains,City: Large,NA,NA,16,27833,NA,13850,13850,11766,23139.5,0.813546519
Xenon International Academy-Omaha,Omaha,NE,Certificate Degree,Plains,City: Large,NA,NA,215,NA,17562,NA,NA,9500,12000,0.964285714
Paul Mitchell the School-Wichita,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,158,NA,18691,NA,NA,9833,12500,0.887640449
Franklin Technology-MSSU,Joplin,MO,Certificate Degree,Plains,City: Small,NA,NA,131,NA,26365,NA,NA,7600,9500,0.683035714
Capella University,Minneapolis,MN,Bachelor Degree,Plains,City: Large,NA,NA,9193,19836,NA,14250,14250,9500,26991,0.746927998
Leech Lake Tribal College,Cass Lake,MN,Associate Degree,Plains,Rural: Distant,NA,NA,157,17573,NA,4198,4198,NA,NA,0.604743083
Crave Beauty Academy,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,140,NA,16173,NA,NA,9119.5,9500,NA
Hastings Beauty School,Hastings,MN,Certificate Degree,Plains,Town: Fringe,NA,NA,31,NA,20222,NA,NA,10180,10180,NA
Kirksville Area Technical Center,Kirksville,MO,Certificate Degree,Plains,Rural: Fringe,0.7273,NA,33,NA,20047,NA,NA,NA,NA,NA
South Central Career Center,West Plains,MO,Certificate Degree,Plains,Town: Remote,NA,NA,69,NA,16299,NA,NA,5737,6802,0.64516129
Saline County Career Center,Marshall,MO,Certificate Degree,Plains,Town: Remote,0.8333,NA,24,NA,23626,NA,NA,14015,NA,NA
Warrensburg Area Career Center,Warrensburg,MO,Certificate Degree,Plains,Town: Distant,0.8095,NA,23,NA,NA,NA,NA,7151,9500,NA
Nevada Regional Technical Center,Nevada,MO,Certificate Degree,Plains,Town: Remote,0.6667,NA,22,NA,11122,NA,NA,9500,NA,NA
Cass Career Center,Harrisonville,MO,Certificate Degree,Plains,Town: Fringe,1,NA,32,NA,32268,NA,NA,9500,NA,NA
Applied Technology Services,Sunset Hills,MO,Certificate Degree,Plains,Suburb: Large,0.2656,NA,169,NA,24392,NA,NA,14738,14750,0.949541284
Central College of Cosmetology,Saint Robert,MO,Certificate Degree,Plains,Town: Remote,NA,NA,73,NA,9660,NA,NA,NA,NA,NA
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,Associate Degree,Plains,City: Small,0.7647,22,204,30413,NA,17580,17580,15250,18750,0.847682119
St Louis Hair Academy,Saint Louis,MO,Certificate Degree,Plains,City: Large,NA,NA,9,NA,20511,NA,NA,NA,NA,NA
New Dimensions School of Hair Design,Joplin,MO,Certificate Degree,Plains,City: Small,NA,NA,21,NA,12432,NA,NA,9822,NA,NA
House of Heavilin Beauty College-Raymore,Raymore,MO,Certificate Degree,Plains,Rural: Fringe,NA,NA,24,NA,19172,NA,NA,9833,10250,NA
The Creative Center,Omaha,NE,Associate Degree,Plains,City: Large,0.6512,NA,51,41627,NA,27700,27700,19500,NA,0.717948718
Northland Career Center,Platte City,MO,Certificate Degree,Plains,Town: Fringe,NA,NA,2,NA,13407,NA,NA,13275,NA,NA
Little Priest Tribal College,Winnebago,NE,Associate Degree,Plains,Rural: Distant,NA,NA,100,18201,NA,5140,5140,NA,NA,0.594594595
Myotherapy Institute,Lincoln,NE,Associate Degree,Plains,City: Large,NA,NA,23,24771,NA,16750,16750,11270,12697.5,NA
White Earth Tribal and Community College,Mahnomen,MN,Associate Degree,Plains,Rural: Remote,NA,NA,74,16471,NA,4281,4281,NA,NA,0.554347826
Vatterott College-Sunset Hills,Sunset Hills,MO,Associate Degree,Plains,Suburb: Large,NA,NA,315,24013,NA,11346,11346,15168,22900,0.402218115
National American University-Bloomington,Bloomington,MN,Bachelor Degree,Plains,City: Small,NA,NA,68,NA,NA,15000,15000,14765,30223,0.758220503
Missouri College of Cosmetology North,Springfield,MO,Certificate Degree,Plains,City: Midsize,NA,NA,84,NA,12343,NA,NA,7885,7885,NA
National American University-Ellsworth AFB Extension,Ellsworth Air Force Base,SD,Bachelor Degree,Plains,Town: Fringe,NA,NA,165,14766,NA,6075,6075,14765,30223,0.758220503
National American University-Brooklyn Center,Brooklyn Center,MN,Associate Degree,Plains,Suburb: Large,NA,NA,125,NA,NA,15000,15000,14765,30223,0.758220503
Vatterott College-Wichita,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,46,24295,NA,11237,11237,15168,22900,0.402218115
Texas County Technical College,Houston,MO,Associate Degree,Plains,Rural: Remote,0.8571,NA,54,26791,NA,15869,15869,9500,12969,0.9
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,145,29978,NA,16757,16757,10436,20000,0.128404669
St Louis College of Health Careers-Fenton,Fenton,MO,Certificate Degree,Plains,Suburb: Large,1,NA,421,NA,NA,NA,NA,9500,9668,0.924836601
Grantham University,Lenexa,KS,Associate Degree,Plains,Suburb: Large,NA,NA,7752,16588,NA,6540,6540,9500,24806,0.654174241
National American University-Overland Park,Overland Park,KS,Associate Degree,Plains,City: Midsize,NA,NA,207,NA,NA,15000,15000,14765,30223,0.758220503
PCI Academy-Plymouth,Plymouth,MN,Certificate Degree,Plains,City: Small,NA,NA,94,NA,15516,NA,NA,6333,8392,NA
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,Bachelor Degree,Plains,Town: Distant,0.4545,NA,1756,NA,NA,5760,5760,12500,16950,0.689956332
Vatterott College-St Charles,St Charles,MO,Certificate Degree,Plains,City: Small,NA,NA,220,23505,NA,11580,11580,15168,22900,0.402218115
L'Ecole Culinaire-St Louis,St. Louis,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,130,26847,NA,13310,13310,14458,20000,0.482319661
American Academy of Acupuncture and Oriental Medicine,Roseville,MN,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eClips School of Cosmetology and Barbering,Overland,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,24,NA,11552,NA,NA,NA,NA,0.298507463
Universal College of Healing Arts,Omaha,NE,Certificate Degree,Plains,City: Large,NA,NA,45,28128,NA,15440,15440,15616,15625,0.824561404
WellSpring School of Allied Health-Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,176,NA,24948,NA,NA,9470,9500,0.767295598
Hair Academy 110,Kirksville,MO,Certificate Degree,Plains,Town: Remote,NA,NA,11,NA,14192,NA,NA,NA,NA,NA
The Salon Professional Academy-Fargo,Fargo,ND,Certificate Degree,Plains,City: Midsize,NA,NA,103,NA,16332,NA,NA,9588,12000,NA
Doane University-Graduate and Professional Studies,Lincoln,NE,Bachelor Degree,Plains,City: Large,NA,NA,592,21315,NA,10780,10780,17000,23862.5,0.556331007
National American University-Zona Rosa,Kansas City,MO,Associate Degree,Plains,City: Large,NA,NA,149,22446,NA,15000,15000,14765,30223,0.758220503
Carlson College of Massage Therapy,Anamosa,IA,Certificate Degree,Plains,Rural: Distant,NA,NA,45,NA,15643,NA,NA,6826.5,NA,0.846153846
Z Hair Academy,Overland Park,KS,Certificate Degree,Plains,City: Midsize,NA,NA,159,NA,13104,NA,NA,9833,9833,NA
Academy of Hair Design-Springfield,Springfield,MO,Certificate Degree,Plains,City: Midsize,NA,NA,200,NA,20554,NA,NA,7917,9500,0.6
National American University-Wichita,Wichita,KS,Associate Degree,Plains,City: Large,NA,NA,130,NA,NA,15000,15000,14765,30223,0.758220503
The Hair Academy,Bismarck,ND,Certificate Degree,Plains,City: Small,NA,NA,55,NA,13960,NA,NA,9500,9952,NA
Pinnacle Career Institute-North Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,46,NA,21357,NA,NA,10644,12546,0.628421053
Ottawa University-Online,Ottawa,KS,Bachelor Degree,Plains,Town: Distant,NA,NA,155,NA,NA,NA,NA,12584,21257,0.62745098
Institute of Production and Recording,Minneapolis,MN,Associate Degree,Plains,City: Large,NA,NA,204,28655,NA,18750,18750,12000,15537,0.207253886
Healing Arts Center,St. Louis,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,108,NA,NA,NA,NA,6365,6365,0.797385621
Paul Mitchell the School-Springfield,Springfield,MO,Certificate Degree,Plains,City: Midsize,NA,NA,108,NA,19103,NA,NA,9500,10863,NA
Urshan Graduate School of Theology,Florissant,MO,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,94,NA,17276,NA,NA,8915,11709,0.933764136
College of Hair Design-East Campus,Lincoln,NE,Certificate Degree,Plains,City: Large,NA,NA,40,NA,19346,NA,NA,12503,14499,0.711790393
Josef's School of Hair Skin & Body-Fargo,Fargo,ND,Certificate Degree,Plains,City: Midsize,NA,NA,68,NA,17262,NA,NA,7915,11500,NA
University of Minnesota-Rochester,Rochester,MN,Bachelor Degree,Plains,City: Midsize,0.513,24,459,24940,NA,13352,13352,17000,20000,0.559390667
Eric Fisher Academy,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,171,NA,18316,NA,NA,9339,9339,NA
CenterPoint Massage and Shiatsu Therapy School and Clinic,St Louis Park,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,93,NA,26263,NA,NA,9500,9500,0.75
Avalon School of Cosmetology,Worthington,MN,Certificate Degree,Plains,Town: Remote,NA,NA,18,NA,17491,NA,NA,NA,NA,NA
American Business and Technology University,St Joseph,MO,Associate Degree,Plains,City: Small,NA,NA,270,NA,25036,NA,NA,19562.5,22191,0.440816327
City Vision University,Kansas City,MO,Bachelor Degree,Plains,City: Large,NA,NA,102,14100,NA,5600,5600,3600,NA,0.506493507
Transformed Barber and Cosmetology Academy,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,38,NA,24032,NA,NA,6333,9500,0.697368421
Nova Academy of Cosmetology,Rochester,MN,Certificate Degree,Plains,City: Midsize,NA,NA,74,NA,20033,NA,NA,7750,8768,NA
Skin Institute,Saint Louis,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,72,NA,17017,NA,NA,7100,NA,NA
The Salon Professional Academy-St Charles,St. Charles,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,131,NA,17146,NA,NA,7804,7804,NA
Paul Mitchell the School-St Louis,St. Louis,MO,Certificate Degree,Plains,City: Large,NA,NA,191,NA,15368,NA,NA,9833,12500,0.949275362
Evolve Beauty Academy,Washing,MO,Certificate Degree,Plains,Town: Distant,NA,NA,15,NA,12700,NA,NA,7999.5,NA,NA
The Salon Professional Academy-Rochester,Rochester,MN,Certificate Degree,Plains,City: Midsize,NA,NA,22,NA,20222,NA,NA,10180,NA,NA
American Trade School,Saint Ann,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,80,NA,16642,NA,NA,11000,12672.5,NA
The Salon Professional Academy-Iowa City,Iowa City,IA,Certificate Degree,Plains,City: Small,NA,NA,18,NA,14146,NA,NA,8000,12000,NA
Entourage Institute of Beauty and Esthetics,Lenexa,KS,Certificate Degree,Plains,Suburb: Large,NA,NA,19,NA,20803,NA,NA,5500,7504,NA
National American University-Lee's Summit,Lee's Summit,MO,Associate Degree,Plains,Suburb: Small,NA,NA,154,NA,NA,15000,15000,14765,30223,0.758220503
Chamberlain University-Missouri,St. Louis,MO,Bachelor Degree,Plains,Suburb: Large,0.6,NA,544,25746,NA,19375,19375,18697.5,22893.5,0.896986301
WellSpring School of Allied Health-Lawrence,Lawrence,KS,Certificate Degree,Plains,City: Small,NA,NA,24,NA,17083,NA,NA,9470,9500,0.767295598
Minneapolis Media Institute,Edina,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,0,17096,NA,10265,10265,9500,14438,0.620714286
Aveda Institute-Des Moines,West Des Moines,IA,Certificate Degree,Plains,City: Small,NA,NA,138,NA,17500,NA,NA,10155,11925.5,NA
Bryan University,Columbia,MO,Associate Degree,Plains,City: Midsize,NA,NA,57,24464,NA,15447,15447,15671,23000,0.657894737
Mitsu Sato Hair Academy,Overland Park,KS,Certificate Degree,Plains,City: Midsize,NA,NA,35,NA,16851,NA,NA,9500,13592,NA
Paul Mitchell the School-Overland Park,Overland Park,KS,Certificate Degree,Plains,City: Midsize,NA,NA,198,NA,19690,NA,NA,9500,10751,0.952755906
National American University-Bellevue,Bellevue,NE,Associate Degree,Plains,Suburb: Large,NA,NA,98,NA,NA,15000,15000,14765,30223,0.758220503
National American University-Burnsville,Burnsville,MN,Associate Degree,Plains,Suburb: Large,NA,NA,44,15876,NA,15000,15000,14765,30223,0.758220503
Hays Academy of Hair Design,Salina,KS,Certificate Degree,Plains,Town: Remote,NA,NA,50,NA,15014,NA,NA,9776,9833,NA
Bellus Academy,Manhattan,KS,Certificate Degree,Plains,City: Small,NA,NA,191,NA,25271,NA,NA,7917,8769,0.904020752
Minnesota School of Cosmetology-Plymouth Campus,WOODBURY,MN,Certificate Degree,Plains,Suburb: Large,NA,NA,101,NA,18787,NA,NA,9594,10194,0.964179105
Shiloh University,Kalona,IA,Entirely Graduate Degree,Plains,Rural: Distant,NA,NA,18,NA,NA,4510,4510,NA,NA,NA
Rasmussen College-Kansas,Topeka,KS,Associate Degree,Plains,Rural: Fringe,NA,NA,376,23508,NA,10935,10935,9774,18254,0.814446146
Academy of Salon Professionals,Sedalia,MO,Certificate Degree,Plains,Town: Remote,NA,NA,53,NA,14450,NA,NA,9833,10883.5,0.828571429
Carthage R9 School District-Carthage Technical Center,Carthage,MO,Certificate Degree,Plains,Town: Fringe,NA,NA,21,NA,23076,NA,NA,8880,NA,NA
City Pointe Beauty Academy,Webb City,MO,Certificate Degree,Plains,Suburb: Small,NA,NA,93,NA,16247,NA,NA,6333,9416.5,NA
L'Ecole Culinaire-Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,124,22112,NA,14225,14225,14458,20000,0.482319661
Vatterott College-ex'treme Institute by Nelly-St Louis,St. Louis,MO,Associate Degree,Plains,City: Large,NA,NA,245,22253,NA,12850,12850,15168,22900,0.402218115
Midwest Technical Institute-Springfield,Springfield,MO,Certificate Degree,Plains,City: Midsize,NA,NA,313,NA,25978,NA,NA,9121,9500,0.504801356
Lynnes Welding Training,Fargo,ND,Certificate Degree,Plains,City: Midsize,NA,NA,23,NA,16744,NA,NA,4134,NA,NA
National American University-Rochester,Rochester,MN,Associate Degree,Plains,City: Midsize,NA,NA,81,NA,NA,15000,15000,14765,30223,0.758220503
National American University-Wichita West,Wichita,KS,Associate Degree,Plains,City: Large,NA,NA,90,NA,NA,15000,15000,14765,30223,0.758220503
DeVry University-Missouri,Kansas City,MO,Bachelor Degree,Plains,City: Large,1,NA,143,32078,NA,17252,17252,18371.5,35766.5,0.605904902
University of Phoenix-Missouri,Saint Louis,MO,Bachelor Degree,Plains,Rural: Fringe,NA,NA,73,NA,NA,NA,NA,14750,31977,0.697281162
Saint Gregory The Great Seminary,Seward,NE,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bethany Global University,Bloomington,MN,Associate Degree,Plains,City: Small,0.961,NA,275,22570,NA,13850,13850,5500,9500,0.688172043
Wisconsin Academy a Paul Mitchell Partner Group-PMTS Lincoln,Lincoln,NE,Certificate Degree,Plains,City: Large,NA,NA,58,NA,21583,NA,NA,9750,12000,NA
Beyond The Basics School of Cosmetology,Marshfield,MO,Certificate Degree,Plains,Rural: Fringe,NA,NA,22,NA,14326,NA,NA,7972.5,NA,NA
Academy of Cosmetology and Esthetics,Nevada,MO,Certificate Degree,Plains,Town: Remote,NA,NA,27,NA,8948,NA,NA,NA,NA,NA
Ea La Mar's Cosmetology & Barber College,Kansas City,MO,Certificate Degree,Plains,City: Large,NA,NA,31,NA,20240,NA,NA,NA,NA,0.44
Lebanon College of Cosmetology,Lebanon,MO,Certificate Degree,Plains,Town: Remote,NA,NA,14,NA,12159,NA,NA,NA,NA,NA
Bolivar Technical College,Bolivar,MO,Certificate Degree,Plains,Town: Distant,0.7778,NA,119,26089,NA,15869,15869,NA,NA,NA
Kansas City University of Medicine and Biosciences-Joplin,Joplin,MO,Entirely Graduate Degree,Plains,City: Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue University Global-St. Louis,St. Louis,MO,Bachelor Degree,Plains,Suburb: Large,NA,NA,263,NA,NA,14263,14263,NA,NA,NA
National American University-Garden City,Garden City,KS,Bachelor Degree,Plains,Town: Remote,NA,NA,48,NA,NA,15000,15000,NA,NA,NA
National American University-Watertown,Watertown,SD,Bachelor Degree,Plains,Town: Remote,NA,NA,69,NA,NA,15000,15000,NA,NA,NA
Graceland University - Independence,Independence,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10560,NA,17201,22832,0.547762999
Baker University School of Nursing,Topeka,KS,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,NA,NA,19500,24503,0.599246231
Baker University School of Professional and Graduate Studies and Graduate School of Education,Overland Park,KS,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,12840,NA,19500,24503,0.599246231
Coffeyville Technical Campus,Coffeyville,KS,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,2304,3872,5171,6500,0.376195537
Columbus Technical Campus,Columbus,KS,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,2304,3872,5171,6500,0.376195537
Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5059,NA,7944,14456,0.62031107
Central Lakes College-Staples Campus,Staples,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5454,NA,8263.5,9843,0.495132128
M State - Detroit Lakes Campus,Detroit Lakes,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5303,NA,8405,11125,0.546787274
M State - Moorhead Campus,Moorhead,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5444,NA,8405,11125,0.546787274
M State - Wadena Campus,Wadena,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5273,NA,8405,11125,0.546787274
South Central College-Faribault,Faribault,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5417,NA,8250,13000,0.516
Mesabi Range College,Eveleth,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5329,6511,8250,11697,0.448105437
Northland Community and Technical College - East Grand Forks,East Grand Forks,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5549,NA,8542,13300,0.517553794
Rasmussen College-Bloomington,Bloomington,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Rasmussen College-Eagan,Eagan,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Rasmussen College-Mankato,Mankato,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Rasmussen College-Brooklyn Park,Brooklyn Park,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Rasmussen College-Lake Elmo/Woodbury,Lake Elmo,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Rasmussen College-Blaine,Blaine,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
Minnesota State CollegeSoutheast-Red Wing Campus,Red Wing,MN,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5630,NA,9500,11500,0.536514119
Columbia College - Kansas City,Kansas City,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Fort Leonard Wood,Fort Leonard Wood,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Jefferson City,Jefferson City,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Lake Ozark,Osage Beach,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Saint Louis,Saint Louis,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Springfield,Springfield,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Columbia College - Rolla,Rolla,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,6840,NA,12993,22250,0.623674218
Evangel University - Assemblies of God Theological Seminary,Springfield,MO,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broadview University - Globe University - Sioux Falls - Teach-Out,Sioux Falls,SD,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,14850,NA,NA,NA,NA
Little Priest Tribal College - Ho Chunk Centre,Sioux City,IA,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,5140,NA,NA,NA,NA
Rasmussen College - Overland Park,Overland Park,KS,Not Classified,Plains,"NA",NA,NA,NA,NA,NA,10935,NA,9774,18254,0.814446146
